policy,step,case,donor_step,message,accepted,before,after
constant,7,F02_John,-1,"{""coordinate"": 7, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""45fe24abc07d1a56c093bf0d0a9e7ab71e7cedc516909b871046a21224890412"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 7}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,8,F02_Mary,-1,"{""coordinate"": 8, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""28d0f9f98b4b64bd5d3666760a5b6534a5d0fbef10fca69d75b41425d5a93b3d"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 8}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,9,F01_Sarah,-1,"{""coordinate"": 9, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""f2b4b371dda11ac777b9c004a0bf07ffda82908a562320b1c0a7eb08cbbdeda0"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 9}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,10,F00_John,-1,"{""coordinate"": 10, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""e160eea19909522e9a32c34e0d8b1452720e212a218873face5c6fe25be4256a"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 10}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,11,F03_Sarah,-1,"{""coordinate"": 11, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""fafbae17813872019b93dba0ab863d78ecf03559349b11c431d025ee3bb6d5a5"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 11}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,12,F02_John,-1,"{""coordinate"": 12, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""9e2eb54ed9d5aa7e08c51aea32ec28e0aeb36de94aaa58eb413c8649dc9d2944"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 12}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,13,F01_Tom,-1,"{""coordinate"": 13, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""9a5cc51cdaaf08b36668f0eecb8c75f1c965e20af446a5c1997984662946abea"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 13}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,14,F03_Tom,-1,"{""coordinate"": 14, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""1e7221750a16a29fb2a5b4de7f0c32cf1e1d15242e062f1b3535f6fea97eb671"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 14}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,15,F00_Mary,-1,"{""coordinate"": 15, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""041c1cfeb5563ff04b01d5f0525101ac25e5b26de9c494ff8c08229dcf82cacd"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 15}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
constant,16,F01_Tom,-1,"{""coordinate"": 16, ""minus"": 0.0, ""plus"": 0.0, ""signature"": ""3cfc15ff094e043f350924fc36ed25c7a80cbbb728f0ed039982c610a63817b4"", ""source"": ""b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4"", ""step"": 16}",1,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4,b393978842a0fa3d3e1470196f098f473f9678e72463cb65ec4ab5581856c2e4
