compiled_row_ordinal,cell_type,compiled_response,compiled_count,candidate_led_group_count,candidate_led_group_ordinals,comparison,derived_response,complete_window_count,response_abs_difference,amplitude_agrees,count_agrees,candidate_mean_min,candidate_mean_max
137,pR7,1.5590562972741826,21.0,1,[2718],one_led_group,1.5590562972741826,21,0.0,True,True,1.5590562972741826,1.5590562972741826
138,pR7,-0.002146140526061715,22.0,1,[2721],one_led_group,-0.0021461405260617167,22,1.734723475976807e-18,True,True,-0.0021461405260617167,-0.0021461405260617167
139,pR7,-0.015167349507173791,18.0,1,[2722],one_led_group,-0.015167349507173787,18,3.469446951953614e-18,True,True,-0.015167349507173787,-0.015167349507173787
140,pR7,0.01029403371086075,4.0,1,[2723],one_led_group,0.010294033710860753,4,3.469446951953614e-18,True,True,0.010294033710860753,0.010294033710860753
141,pR7,0.48714723868495063,67.0,1,[2724],one_led_group,0.4888804102852549,70,0.001733171600304284,False,False,0.4888804102852549,0.4888804102852549
142,pR7,0.5083943813445342,11.0,1,[2725],one_led_group,0.5502039441988843,12,0.04180956285435011,False,False,0.5502039441988843,0.5502039441988843
143,pR7,0.09419830110636648,7.0,1,[2726],one_led_group,0.10297801707028958,8,0.008779715963923101,False,False,0.10297801707028958,0.10297801707028958
144,pR7,0.41837011367439997,25.0,1,[2727],one_led_group,0.46325571069838634,27,0.04488559702398637,False,False,0.46325571069838634,0.46325571069838634
145,pR7,0.5080724568268364,18.0,1,[2728],one_led_group,0.5080724568268364,18,0.0,True,True,0.5080724568268364,0.5080724568268364
146,pR7,0.3561387555506325,11.0,1,[2729],one_led_group,0.2042939197150394,13,0.1518448358355931,False,False,0.2042939197150394,0.2042939197150394
147,pR7,0.9245833499757332,32.0,1,[2730],one_led_group,0.9245833499757332,32,0.0,True,True,0.9245833499757332,0.9245833499757332
148,pR7,0.06394503283757405,11.0,1,[2731],one_led_group,0.1843926903972189,15,0.12044765755964484,False,False,0.1843926903972189,0.1843926903972189
149,pR7,0.09395750809480455,118.0,1,[2732],one_led_group,0.09136853502197416,119,0.002588973072830389,False,False,0.09136853502197416,0.09136853502197416
150,pR7,-0.115371934974615,25.0,1,[2733],one_led_group,-0.10487005740415116,26,0.010501877570463836,False,False,-0.10487005740415116,-0.10487005740415116
151,pR7,0.1364140265243373,10.0,1,[2734],one_led_group,0.13641402652433737,10,8.326672684688674e-17,True,True,0.13641402652433737,0.13641402652433737
152,pR7,0.9419208458253829,26.0,1,[2735],one_led_group,0.9419208458253833,26,3.3306690738754696e-16,True,True,0.9419208458253833,0.9419208458253833
153,pR7,0.07143424117800498,11.0,1,[2736],one_led_group,0.07637923338628122,13,0.004944992208276239,False,False,0.07637923338628122,0.07637923338628122
154,pR7,0.07346439236678494,11.0,1,[2737],one_led_group,0.028062940884366963,13,0.045401451482417976,False,False,0.028062940884366963,0.028062940884366963
155,pR7,0.10960633137278115,22.0,1,[2738],one_led_group,0.13193410770881717,23,0.022327776336036012,False,False,0.13193410770881717,0.13193410770881717
156,pR7,0.03908813186426659,22.0,1,[2739],one_led_group,0.09689857261866777,23,0.057810440754401185,False,False,0.09689857261866777,0.09689857261866777
157,pR7,0.29825722566472906,24.0,1,[2740],one_led_group,0.298257225664729,24,5.551115123125783e-17,True,True,0.298257225664729,0.298257225664729
158,pR7,0.08798243142107288,95.0,1,[2741],one_led_group,0.08798243142107284,95,4.163336342344337e-17,True,True,0.08798243142107284,0.08798243142107284
159,pR7,0.06656042309315978,11.0,1,[2742],one_led_group,0.0652809880478606,13,0.0012794350452991765,False,False,0.0652809880478606,0.0652809880478606
160,pR7,0.04217240615138109,13.0,1,[2743],one_led_group,0.0421724061513811,13,6.938893903907228e-18,True,True,0.0421724061513811,0.0421724061513811
161,pR7,0.13519213769827038,11.0,1,[2744],one_led_group,0.1351921376982704,11,2.7755575615628914e-17,True,True,0.1351921376982704,0.1351921376982704
162,pR7,0.38309494674310823,11.0,1,[2745],one_led_group,0.2197139143606903,13,0.16338103238241794,False,False,0.2197139143606903,0.2197139143606903
163,pR7,0.05050322206166215,7.0,1,[2746],one_led_group,0.029080371198013884,8,0.021422850863648264,False,False,0.029080371198013884,0.029080371198013884
164,pR7,0.0212659277092482,18.0,1,[2747],one_led_group,0.021265927709248195,18,3.469446951953614e-18,True,True,0.021265927709248195,0.021265927709248195
165,pR7,9.966081695981222e-05,18.0,1,[2748],one_led_group,9.966081695981179e-05,18,4.336808689942018e-19,True,True,9.966081695981179e-05,9.966081695981179e-05
