parameters,modules,protocol,context,cell,title,odor,stage,nativeFigure,native,local,errorHz
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,0,4,april-2modules-repulsive.fig,3.5199575854396086,3.5360707118319965,0.016113126392387933
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,0,5,april-2modules-repulsive.fig,3.4340478921950846,3.4340478898624562,-2.332628312728957e-09
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,1,0,april-2modules-repulsive.fig,3.434047927041533,3.434047927041533,0.0
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,1,1,april-2modules-repulsive.fig,2.8464446312301765,3.598869377056186,0.7524247458260094
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,1,2,april-2modules-repulsive.fig,2.988922996933902,3.868819582482245,0.8798965855483427
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,1,3,april-2modules-repulsive.fig,3.9643724847768764,4.148987526345416,0.1846150415685397
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,1,4,april-2modules-repulsive.fig,3.4714523657828824,3.4756728625588416,0.004220496775959148
March 2023,2,figure_5c_script,1,2,DAN-\alpha3,1,5,april-2modules-repulsive.fig,3.434047911547607,3.434047910793118,-7.544889157884427e-10
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,0,april-2modules-repulsive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,1,april-2modules-repulsive.fig,-10.044749363694887,-11.114939794413836,-1.0701904307189487
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,2,april-2modules-repulsive.fig,-16.312961672800455,-18.593721618624077,-2.280759945823622
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,3,april-2modules-repulsive.fig,14.275831275822242,12.159106445481939,-2.116724830340303
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,4,april-2modules-repulsive.fig,21.862095058042456,21.816064702234975,-0.04603035580748127
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,5,april-2modules-repulsive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,0,april-2modules-repulsive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,1,april-2modules-repulsive.fig,4.700387827799261,6.499013248249561,1.7986254204502998
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,2,april-2modules-repulsive.fig,4.264421754979409,5.713731812306847,1.4493100573274376
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,3,april-2modules-repulsive.fig,20.49425927334056,19.882140165311526,-0.6121191080290345
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,4,april-2modules-repulsive.fig,22.00065192427727,21.988593221657922,-0.012058702619349049
March 2023,2,figure_5c_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,5,april-2modules-repulsive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,0,0,april-2modules-repulsive.fig,14.740796773154848,14.740796773154848,0.0
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,0,1,april-2modules-repulsive.fig,-11.2,-11.2,0.0
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,0,2,april-2modules-repulsive.fig,-11.2,-11.2,0.0
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,0,3,april-2modules-repulsive.fig,-11.2,-11.2,0.0
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,0,4,april-2modules-repulsive.fig,-4.41917582247407,-7.0677235955125175,-2.6485477730384472
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,0,5,april-2modules-repulsive.fig,-2.0580699902057233,-3.1825891945261624,-1.124519204320439
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,1,0,april-2modules-repulsive.fig,14.740796773154848,14.740796773154848,0.0
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,1,1,april-2modules-repulsive.fig,-1.4975417799085733,-1.9789781464346028,-0.4814363665260295
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,1,2,april-2modules-repulsive.fig,-5.675757207743388,-8.790766369215039,-3.115009161471651
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,1,3,april-2modules-repulsive.fig,-1.542169465270863,-4.993740352956957,-3.4515708876860938
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,1,4,april-2modules-repulsive.fig,7.992749599615625,7.213403038408085,-0.7793465612075394
March 2023,2,figure_5c_script,1,5,MBON-\alpha3,1,5,april-2modules-repulsive.fig,7.271444700500002,6.9077186134212525,-0.3637260870787493
